Time (s),Output (V)
0.0001460674157303371,0.423828125
0.0001463116756228627,0.421875
0.0001465559355153884,0.41796875
0.000146800195407914,0.416015625
0.0001470444553004397,0.4140625
0.0001472887151929653,0.41015625
0.000147532975085491,0.408203125
0.0001477772349780166,0.40625
0.0001480214948705422,0.40234375
0.0001482657547630679,0.400390625
0.0001485100146555936,0.3984375
0.0001487542745481192,0.39453125
0.0001489985344406449,0.392578125
0.0001492427943331705,0.390625
0.0001494870542256961,0.38671875
0.0001497313141182218,0.384765625
0.0001499755740107474,0.3828125
0.0001502198339032731,0.37890625
0.0001504640937957987,0.376953125
0.0001507083536883244,0.375
0.00015095261358085,0.37109375
0.0001511968734733757,0.369140625
0.0001514411333659013,0.365234375
0.000151685393258427,0.36328125
0.0001519296531509526,0.361328125
0.0001521739130434782,0.357421875
0.0001524181729360039,0.35546875
0.0001526624328285296,0.353515625
0.0001529066927210552,0.349609375
0.0001531509526135809,0.34765625
0.0001533952125061065,0.345703125
0.0001536394723986322,0.341796875
0.0001538837322911578,0.33984375
0.0001541279921836834,0.337890625
0.0001543722520762091,0.333984375
0.0001546165119687347,0.33203125
0.0001548607718612604,0.330078125
0.000155105031753786,0.326171875
0.0001553492916463117,0.32421875
0.0001555935515388373,0.322265625
0.000155837811431363,0.318359375
0.0001560820713238886,0.31640625
0.0001563263312164143,0.3125
0.0001565705911089399,0.310546875
0.0001568148510014656,0.30859375
0.0001570591108939912,0.3046875
0.0001573033707865169,0.302734375
0.0001575476306790425,0.30078125
0.0001577918905715682,0.296875
0.0001580361504640938,0.294921875
0.0001582804103566194,0.29296875
0.0001585246702491451,0.2890625
0.0001587689301416707,0.287109375
0.0001590131900341964,0.28515625
0.000159257449926722,0.28125
0.0001595017098192477,0.279296875
0.0001597459697117733,0.27734375
0.000159990229604299,0.2734375
0.0001602344894968246,0.271484375
0.0001604787493893503,0.26953125
0.0001607230092818759,0.265625
0.0001609672691744016,0.263671875
0.0001612115290669272,0.259765625
0.0001614557889594529,0.2578125
0.0001617000488519785,0.255859375
0.0001619443087445042,0.251953125
0.0001621885686370298,0.25
0.0001624328285295555,0.248046875
0.0001626770884220811,0.244140625
0.0001629213483146067,0.2421875
0.0001631656082071324,0.240234375
0.000163409868099658,0.236328125
0.0001636541279921837,0.234375
0.0001638983878847093,0.232421875
0.000164142647777235,0.228515625
0.0001643869076697606,0.2265625
0.0001646311675622863,0.224609375
0.0001648754274548119,0.220703125
0.0001651196873473376,0.21875
0.0001653639472398632,0.216796875
0.0001656082071323889,0.212890625
0.0001658524670249145,0.2109375
0.0001660967269174402,0.20703125
0.0001663409868099658,0.205078125
0.0001665852467024915,0.203125
0.0001668295065950171,0.19921875
0.0001670737664875428,0.197265625
0.0001673180263800684,0.1953125
0.000167562286272594,0.19140625
0.0001678065461651197,0.189453125
0.0001680508060576453,0.1875
0.000168295065950171,0.18359375
0.0001685393258426966,0.181640625
0.0001687835857352223,0.1796875
0.0001690278456277479,0.17578125
0.0001692721055202736,0.173828125
0.0001695163654127992,0.171875
0.0001697606253053249,0.16796875
0.0001700048851978505,0.166015625
0.0001702491450903762,0.1640625
0.0001704934049829018,0.16015625
0.0001707376648754275,0.158203125
0.0001709819247679531,0.154296875
0.0001712261846604788,0.15234375
0.0001714704445530044,0.150390625
0.0001717147044455301,0.146484375
0.0001719589643380557,0.14453125
0.0001722032242305813,0.142578125
0.000172447484123107,0.138671875
0.0001726917440156326,0.13671875
0.0001729360039081583,0.134765625
0.0001731802638006839,0.130859375
0.0001734245236932096,0.12890625
0.0001736687835857352,0.126953125
0.0001739130434782609,0.123046875
0.0001741573033707865,0.12109375
0.0001744015632633122,0.119140625
0.0001746458231558378,0.115234375
0.0001748900830483635,0.11328125
0.0001751343429408891,0.111328125
0.0001753786028334147,0.107421875
0.0001756228627259404,0.10546875
0.000175867122618466,0.1015625
0.0001761113825109917,0.099609375
0.0001763556424035173,0.09765625
0.000176599902296043,0.09375
0.0001768441621885686,0.091796875
0.0001770884220810943,0.08984375
0.0001773326819736199,0.0859375
0.0001775769418661456,0.083984375
0.0001778212017586712,0.08203125
0.0001780654616511969,0.078125
0.0001783097215437225,0.076171875
0.0001785539814362482,0.07421875
0.0001787982413287738,0.0703125
0.0001790425012212995,0.068359375
0.0001792867611138251,0.06640625
0.0001795310210063508,0.0625
0.0001797752808988764,0.060546875
0.000180019540791402,0.05859375
0.0001802638006839277,0.0546875
0.0001805080605764533,0.052734375
0.000180752320468979,0.048828125
0.0001809965803615046,0.046875
0.0001812408402540303,0.044921875
0.0001814851001465559,0.041015625
0.0001817293600390816,0.0390625
0.0001819736199316072,0.037109375
0.0001822178798241329,0.033203125
0.0001824621397166585,0.03125
0.0001827063996091842,0.029296875
0.0001829506595017098,0.025390625
0.0001831949193942355,0.0234375
0.0001834391792867611,0.021484375
0.0001836834391792868,0.017578125
0.0001839276990718124,0.015625
0.0001841719589643381,0.013671875
0.0001844162188568637,0.009765625
0.0001846604787493893,0.0078125
0.000184904738641915,0.005859375
0.0001851489985344406,0.001953125
0.0001853932584269663,0
0.000185637518319492,-0.00390625
0.0001858817782120176,-0.005859375
0.0001861260381045432,-0.0078125
0.0001863702979970689,-0.01171875
0.0001866145578895945,-0.013671875
0.0001868588177821202,-0.015625
0.0001871030776746458,-0.01953125
0.0001873473375671715,-0.021484375
0.0001875915974596971,-0.0234375
0.0001878358573522228,-0.02734375
0.0001880801172447484,-0.029296875
0.0001883243771372741,-0.03125
0.0001885686370297997,-0.03515625
0.0001888128969223254,-0.037109375
0.000189057156814851,-0.0390625
0.0001893014167073766,-0.04296875
0.0001895456765999023,-0.044921875
0.000189789936492428,-0.046875
0.0001900341963849536,-0.05078125
0.0001902784562774793,-0.052734375
0.0001905227161700049,-0.056640625
0.0001907669760625305,-0.05859375
0.0001910112359550562,-0.060546875
0.0001912554958475818,-0.064453125
0.0001914997557401075,-0.06640625
0.0001917440156326331,-0.068359375
0.0001919882755251588,-0.072265625
0.0001922325354176844,-0.07421875
0.0001924767953102101,-0.076171875
0.0001927210552027357,-0.080078125
0.0001929653150952614,-0.08203125
0.000193209574987787,-0.083984375
0.0001934538348803126,-0.087890625
0.0001936980947728383,-0.08984375
0.000193942354665364,-0.091796875
0.0001941866145578896,-0.095703125
0.0001944308744504153,-0.09765625
0.0001946751343429409,-0.099609375
0.0001949193942354666,-0.103515625
0.0001951636541279922,-0.10546875
0.0001954079140205178,-0.109375
0.0001956521739130435,-0.111328125
0.0001958964338055691,-0.11328125
0.0001961406936980948,-0.1171875
0.0001963849535906204,-0.119140625
0.0001966292134831461,-0.12109375
0.0001968734733756717,-0.125
0.0001971177332681974,-0.126953125
0.000197361993160723,-0.12890625
0.0001976062530532487,-0.1328125
0.0001978505129457743,-0.134765625
0.0001980947728383,-0.13671875
0.0001983390327308256,-0.140625
0.0001985832926233513,-0.142578125
0.0001988275525158769,-0.14453125
0.0001990718124084026,-0.1484375
0.0001993160723009282,-0.150390625
0.0001995603321934538,-0.15234375
0.0001998045920859795,-0.15625
0.0002000488519785051,-0.158203125
0.0002002931118710308,-0.162109375
0.0002005373717635564,-0.1640625
0.0002007816316560821,-0.166015625
0.0002010258915486077,-0.169921875
0.0002012701514411334,-0.171875
0.000201514411333659,-0.173828125
0.0002017586712261847,-0.177734375
0.0002020029311187103,-0.1796875
0.000202247191011236,-0.181640625
0.0002024914509037616,-0.185546875
0.0002027357107962873,-0.1875
0.0002029799706888129,-0.189453125
0.0002032242305813386,-0.193359375
0.0002034684904738642,-0.1953125
0.0002037127503663898,-0.197265625
0.0002039570102589155,-0.201171875
0.0002042012701514411,-0.203125
0.0002044455300439668,-0.205078125
0.0002046897899364924,-0.208984375
0.0002049340498290181,-0.2109375
0.0002051783097215437,-0.21484375
0.0002054225696140694,-0.216796875
0.000205666829506595,-0.21875
0.0002059110893991206,-0.22265625
0.0002061553492916463,-0.224609375
0.000206399609184172,-0.2265625
0.0002066438690766976,-0.23046875
0.0002068881289692233,-0.232421875
0.0002071323888617489,-0.234375
0.0002073766487542745,-0.23828125
0.0002076209086468002,-0.240234375
0.0002078651685393258,-0.2421875
